level,kind,english,part_of_speech,hebrew_translation,hebrew_definition,english_example
C1,term,"abate","verb","לשכוך/לדעוך","לשכוך, לדעוך בעוצמה","The storm abated."
C1,term,"aberration","noun","חריגה/סטייה","חריגה מהרגיל","A statistical aberration."
C1,term,"abound","verb","לשפוע/להימצא בשפע","להימצא בשפע","Rumours abound."
C1,term,"absence","noun","היעדר","היעדר, חיסרון","A meaningful absence."
C1,term,"abstain","verb","להימנע","להימנע במכוון","He abstained from voting."
C1,term,"absurd","adjective","אבסורדי","אבסורדי, חסר היגיון","It seems absurd."
C1,term,"acquiesce","verb","להסכים בשתיקה","להסכים בשתיקה, להיכנע","She acquiesced to the demand."
C1,term,"adamant","adjective","נחרץ/עיקש","נחרץ ועומד על דעתו","She was adamant about leaving."
C1,term,"adopting","verb","לאמץ","לאמץ","Adopting a habit."
C1,term,"advocate","verb","לתמוך/לדגול","לתמוך ולקדם רעיון בפומבי","She advocates for equal rights."
C1,term,"affable","adjective","נעים הליכות","נעים הליכות וחביב","An affable host."
C1,term,"affinity","noun","זיקה/חיבה","זיקה, חיבה טבעית","An affinity for music."
C1,term,"aid","noun","עזר/סיוע","עזר, סיוע","A memory aid."
C1,term,"akin","adjective","דומה ל-","דומה ל-, קרוב במהותו","It's akin to cheating."
C1,term,"albeit","conjunction","אם כי","אם כי — למרות ש (פורמלי)","It was successful, albeit costly."
C1,term,"alleviate","verb","להקל/לשכך","להקל על כאב, סבל או בעיה","The medicine alleviates the pain."
C1,term,"allude","verb","לרמוז/להזכיר","לרמוז, להזכיר בעקיפין","She alluded to the problem."
C1,term,"aloof","adjective","מסויג/מרוחק","מסויג ומרוחק","He stayed aloof."
C1,term,"ambiguous","adjective","דו-משמעי/עמום","דו-משמעי — ניתן לפרש ביותר מדרך אחת","His answer was ambiguous."
C1,term,"ambivalence","noun","אמביוולנטיות","רגשות מעורבים, דו-ערכיות","Ambivalence about the move."
C1,term,"ambivalent","adjective","דו-ערכי/מסויג","דו-ערכי — בעל רגשות מעורבים","She felt ambivalent about it."
C1,term,"amenable","adjective","נכון/נוח לשכנוע","נוח לשכנוע, נכון לשתף","Amenable to change."
C1,term,"amiable","adjective","נעים/ידידותי","נעים וידידותי","An amiable colleague."
C1,term,"ample","adjective","רב/בשפע","רב ומספיק בשפע","There is ample time."
C1,term,"antecedent","noun","קודם/תקדים","מה שקדם; תקדים","Historical antecedents."
C1,term,"apathy","noun","אדישות","אדישות, חוסר עניין","Voter apathy."
C1,term,"appease","verb","לפייס","לפייס, להרגיע","They tried to appease critics."
C1,term,"apprehensive","adjective","חושש/מודאג","חושש, מודאג מהעתיד","Apprehensive about the test."
C1,term,"arbiter","noun","בורר/פוסק","בורר, פוסק מכריע","An arbiter of taste."
C1,term,"arbitrary","adjective","שרירותי","שרירותי — נקבע ללא היגיון ברור","An arbitrary decision."
C1,term,"articulate","verb","לבטא בבהירות","לבטא בבהירות","Articulate your concerns."
C1,term,"assuage","verb","להפיג/להקל","להפיג, להקל (חשש/כאב)","To assuage their fears."
C1,term,"astute","adjective","חריף/נבון","חריף ונבון בשיפוט","An astute investor."
C1,term,"asymmetry","noun","אי-סימטריה","אי-סימטריה, חוסר איזון","This asymmetry."
C1,term,"attune","verb","לכוונן/להתאים","לכוונן, להתאים לרגישות","Attuned to others' moods."
C1,term,"austere","adjective","צנום/נוקשה","צנוע ונוקשה, ללא קישוט","An austere room."
C1,term,"aversion","noun","סלידה/רתיעה","סלידה, רתיעה","Loss aversion."
C1,term,"belated","adjective","מאוחר/באיחור","מאוחר, באיחור","A belated apology."
C1,term,"benign","adjective","שפיר/תמים","שפיר; תמים ולא מזיק","A benign tumour."
C1,term,"bleak","adjective","קודר","קודר, חסר תקווה","A bleak future."
C1,term,"bound","verb","כבול/מחויב","מחויב, כבול","Bound by rules."
C1,term,"breakthrough","noun","פריצת דרך","פריצת דרך","A medical breakthrough."
C1,term,"brevity","noun","תמציתיות/קיצור","תמציתיות, קיצור","Praised for its brevity."
C1,term,"candid","adjective","כן/גלוי לב","כן וגלוי, ללא הסתרה","A candid conversation."
C1,term,"certainty","noun","ודאות","ודאות","Revise our certainties."
C1,term,"circumvent","verb","לעקוף","לעקוף מכשול או חוק","They circumvented the rules."
C1,term,"cling","verb","להיאחז","להיאחז, להיצמד","Cling to what we have."
C1,term,"coherent","adjective","קוהרנטי/בהיר","קוהרנטי — הגיוני ומאורגן היטב","She gave a coherent explanation."
C1,term,"cohesive","adjective","מלוכד","מלוכד, מחובר היטב","A cohesive team."
C1,term,"commensurate","adjective","תואם/יחסי","תואם, יחסי בהיקפו","Pay commensurate with skill."
C1,term,"compelling","adjective","משכנע","משכנע — חזק ומושך תשומת לב","She made a compelling argument."
C1,term,"compete","verb","להתחרות","להתחרות","Firms compete."
C1,term,"comprehensive","adjective","מקיף","מקיף — כולל את כל ההיבטים","The report is comprehensive."
C1,term,"concede","verb","להודות/לוותר","להודות, או לוותר","He conceded the point."
C1,term,"condescend","verb","להתנשא","להתנשא, לדבר מגבוה","Don't condescend to me."
C1,term,"conducive","adjective","מסייע/תורם","מסייע — תורם לתוצאה רצויה","An environment conducive to study."
C1,term,"confound","verb","לבלבל/לסכל","לבלבל, או לסכל ציפיות","The results confounded experts."
C1,term,"confusing","adjective","מבלבל","מבלבל","A confusing rule."
C1,term,"conjecture","noun","השערה/ניחוש","השערה ללא הוכחה","Pure conjecture."
C1,term,"connote","verb","לרמז על/להשתמע","לרמז על משמעות נוספת","The word connotes wealth."
C1,term,"conscientious","adjective","מצפוני/שקדן","מצפוני, יסודי ואחראי","A conscientious worker."
C1,term,"consensus","noun","הסכמה רחבה/קונצנזוס","הסכמה רחבה","We reached a consensus."
C1,term,"conspicuous","adjective","בולט לעין","בולט לעין, קל לזיהוי","A conspicuous mistake."
C1,term,"constitute","verb","להוות","להוות — להרכיב או להיחשב כ־","These acts constitute a crime."
C1,term,"constraints","noun","אילוצים","אילוצים, מגבלות","Tight constraints."
C1,term,"contemplate","verb","להרהר/לשקול","להרהר, לשקול ברצינות","She contemplated leaving."
